sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description
N01_1_2			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N01_1_3			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N01_1_4			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N01_2_2			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N01_2_3			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N01_2_4			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N02_1_2			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N02_1_3			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N02_1_4			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N02_2_2			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N02_2_3			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N02_2_4			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N03_1_4			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N03_2_2			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N03_2_3			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N03_2_4			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N04_1_2			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N04_1_3			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N04_1_4			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N04_2_2			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N04_2_3			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
N04_2_4			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
