sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description
RS0001_1171			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
RS0001_1173			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
RS0001_1221			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
RS0001_1222			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
RS0001_1223			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
RS0001_1196			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
RS0001_1180			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
RS0001_1181			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
RS0001_1218			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
RS0001_1206			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
RS0001_1197			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
RS0001_1207			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
RS0001_1208			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
RS0001_1209			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
RS0001_1203			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
HG0001_9876			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
HG0001_9877			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
HG0001_9878			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
HG0001_9879			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
HG0001_9880			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
HG0001_9881			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
TFZ002_8000			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
TFZ002_8001			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
TFZ002_8003			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
TFZ002_8004			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
TFZ002_8070			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
TFZ002_8073			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
HG0155_0047			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
HG0155_0048			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
HG0155_0049			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
HG0155_0055			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
HG0155_0056			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
HG0155_0057			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Geiger_01			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Geiger_02			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Geiger_04			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Geiger_05			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Geiger_06			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Geiger_07			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Geiger_08			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Geiger_09			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Geiger_10			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_01			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_02			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_03			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_04			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_05			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_06			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_07			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_08			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_09			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_10			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_11			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_12			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_13			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_14			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_15			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_16			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_17			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_18			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_19			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_20			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_21			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_22			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_23			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_24			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
Stahl_25			metagenome	Mus musculus	stool	1/1/2020	Germany: Ulm	48.40 N 09.98 E							
