sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description
A10Jenny02			metagenome	Homo sapiens	stool	2017-07-24	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A10Jenny03			metagenome	Homo sapiens	stool	2017-05-22	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A11Jenny02			metagenome	Homo sapiens	stool	2017-07-20	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A11Jenny03			metagenome	Homo sapiens	stool	2017-06-22	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A11Jenny1			metagenome	Homo sapiens	stool	2017-01-31	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A12Jenny02			metagenome	Homo sapiens	stool	2017-07-20	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A12Jenny03			metagenome	Homo sapiens	stool	2017-11-29	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A12Jenny1			metagenome	Homo sapiens	stool	2017-02-05	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A1Jenny02			metagenome	Homo sapiens	stool	2017-08-06	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A1Jenny03			metagenome	Homo sapiens	stool	2017-11-29	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A1Jenny1			metagenome	Homo sapiens	stool	2017-02-28	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A2Jenny02			metagenome	Homo sapiens	stool	2017-08-08	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A2Jenny03			metagenome	Homo sapiens	stool	2017-11-21	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A2Jenny1			metagenome	Homo sapiens	stool	2017-02-19	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A3Jenny02			metagenome	Homo sapiens	stool	2017-08-01	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A3Jenny03			metagenome	Homo sapiens	stool	2017-10-24	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A3Jenny1			metagenome	Homo sapiens	stool	2017-02-23	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A4Jenny02			metagenome	Homo sapiens	stool	2017-08-01	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A4Jenny1			metagenome	Homo sapiens	stool	2017-03-05	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A5Jenny02			metagenome	Homo sapiens	stool	2017-07-31	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A5Jenny03			metagenome	Homo sapiens	stool	2017-11-02	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A5Jenny1			metagenome	Homo sapiens	stool	2017-01-22	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A6Jenny02			metagenome	Homo sapiens	stool	2017-07-26	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A6Jenny03			metagenome	Homo sapiens	stool	2017-11-02	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A6Jenny1			metagenome	Homo sapiens	stool	2017-01-24	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A7Jenny02			metagenome	Homo sapiens	stool	2017-07-24	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A7Jenny03			metagenome	Homo sapiens	stool	2017-11-05	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A7Jenny1			metagenome	Homo sapiens	stool	2017-01-29	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A8Jenny02			metagenome	Homo sapiens	stool	2017-07-24	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A8Jenny03			metagenome	Homo sapiens	stool	2017-09-26	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A8Jenny1			metagenome	Homo sapiens	stool	2017-01-30	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A9Jenny02			metagenome	Homo sapiens	stool	2017-07-24	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A9Jenny03			metagenome	Homo sapiens	stool	2017-09-26	USA: Ohio, Cincinnati	39.10 N 84.51 W							
A9Jenny1			metagenome	Homo sapiens	stool	2017-09-26	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B10Jenny02			metagenome	Homo sapiens	stool	2017-06-29	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B10Jenny03			metagenome	Homo sapiens	stool	2018-01-01	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B10Jenny1			metagenome	Homo sapiens	stool	2017-03-21	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B11Jenny02			metagenome	Homo sapiens	stool	2017-09-10	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B11Jenny03			metagenome	Homo sapiens	stool	2017-11-26	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B11Jenny1			metagenome	Homo sapiens	stool	2017-04-19	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B12Jenny02			metagenome	Homo sapiens	stool	2017-09-11	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B12Jenny03			metagenome	Homo sapiens	stool	2018-01-21	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B12Jenny1			metagenome	Homo sapiens	stool	2017-04-07	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B1Jenny02			metagenome	Homo sapiens	stool	2017-07-19	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B1Jenny03			metagenome	Homo sapiens	stool	2017-12-03	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B1Jenny1			metagenome	Homo sapiens	stool	2017-02-06	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B2Jenny02			metagenome	Homo sapiens	stool	2017-07-21	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B2Jenny03			metagenome	Homo sapiens	stool	2017-12-04	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B2Jenny1			metagenome	Homo sapiens	stool	2017-02-20	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B3Jenny02			metagenome	Homo sapiens	stool	2017-07-19	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B3Jenny03			metagenome	Homo sapiens	stool	2017-12-04	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B3Jenny1			metagenome	Homo sapiens	stool	2017-03-02	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B4Jenny02			metagenome	Homo sapiens	stool	2017-07-17	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B4Jenny03			metagenome	Homo sapiens	stool	2017-12-04	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B4Jenny1			metagenome	Homo sapiens	stool	2017-02-08	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B5Jenny02			metagenome	Homo sapiens	stool	2017-07-12	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B5Jenny03			metagenome	Homo sapiens	stool	2017-12-05	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B5Jenny1			metagenome	Homo sapiens	stool	2017-02-06	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B6Jenny02			metagenome	Homo sapiens	stool	2017-07-14	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B6Jenny03			metagenome	Homo sapiens	stool	2017-12-07	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B6Jenny1			metagenome	Homo sapiens	stool	2017-03-06	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B7Jenny02			metagenome	Homo sapiens	stool	2017-07-11	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B7Jenny1			metagenome	Homo sapiens	stool	2017-03-27	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B8Jenny02			metagenome	Homo sapiens	stool	2017-07-07	USA: Ohio, Cincinnati	39.10 N 84.51 W							
B8Jenny03			metagenome	Homo sapiens	stool	2017-12-06	USA: Ohio, Cincinnati	39.10 N 84.51 W							
