sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description
A10Jenny02			metagenome	Homo sapiens	stool	7/24/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A10Jenny03			metagenome	Homo sapiens	stool	5/22/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A11Jenny02			metagenome	Homo sapiens	stool	7/20/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A11Jenny03			metagenome	Homo sapiens	stool	6/22/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A11Jenny1			metagenome	Homo sapiens	stool	1/31/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A12Jenny02			metagenome	Homo sapiens	stool	7/20/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A12Jenny03			metagenome	Homo sapiens	stool	11/29/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A12Jenny1			metagenome	Homo sapiens	stool	2/5/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A1Jenny02			metagenome	Homo sapiens	stool	8/6/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A1Jenny03			metagenome	Homo sapiens	stool	11/29/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A1Jenny1			metagenome	Homo sapiens	stool	2/28/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A2Jenny02			metagenome	Homo sapiens	stool	8/8/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A2Jenny03			metagenome	Homo sapiens	stool	11/21/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A2Jenny1			metagenome	Homo sapiens	stool	2/19/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A3Jenny02			metagenome	Homo sapiens	stool	8/1/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A3Jenny03			metagenome	Homo sapiens	stool	10/24/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A3Jenny1			metagenome	Homo sapiens	stool	2/23/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A4Jenny02			metagenome	Homo sapiens	stool	8/1/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A4Jenny1			metagenome	Homo sapiens	stool	3/5/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A5Jenny02			metagenome	Homo sapiens	stool	7/31/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A5Jenny03			metagenome	Homo sapiens	stool	11/2/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A5Jenny1			metagenome	Homo sapiens	stool	1/22/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A6Jenny02			metagenome	Homo sapiens	stool	7/26/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A6Jenny03			metagenome	Homo sapiens	stool	11/2/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A6Jenny1			metagenome	Homo sapiens	stool	1/24/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A7Jenny02			metagenome	Homo sapiens	stool	7/24/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A7Jenny03			metagenome	Homo sapiens	stool	11/5/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A7Jenny1			metagenome	Homo sapiens	stool	1/29/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A8Jenny02			metagenome	Homo sapiens	stool	7/24/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A8Jenny03			metagenome	Homo sapiens	stool	9/26/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A8Jenny1			metagenome	Homo sapiens	stool	1/30/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A9Jenny02			metagenome	Homo sapiens	stool	7/24/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A9Jenny03			metagenome	Homo sapiens	stool	9/26/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
A9Jenny1			metagenome	Homo sapiens	stool	9/26/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B10Jenny02			metagenome	Homo sapiens	stool	6/29/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B10Jenny03			metagenome	Homo sapiens	stool	1/1/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B10Jenny1			metagenome	Homo sapiens	stool	3/21/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B11Jenny02			metagenome	Homo sapiens	stool	9/10/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B11Jenny03			metagenome	Homo sapiens	stool	11/26/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B11Jenny1			metagenome	Homo sapiens	stool	4/19/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B12Jenny02			metagenome	Homo sapiens	stool	9/11/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B12Jenny03			metagenome	Homo sapiens	stool	1/21/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B12Jenny1			metagenome	Homo sapiens	stool	4/7/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B1Jenny02			metagenome	Homo sapiens	stool	7/19/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B1Jenny03			metagenome	Homo sapiens	stool	12/3/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B1Jenny1			metagenome	Homo sapiens	stool	2/6/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B2Jenny02			metagenome	Homo sapiens	stool	7/21/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B2Jenny03			metagenome	Homo sapiens	stool	12/4/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B2Jenny1			metagenome	Homo sapiens	stool	2/20/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B3Jenny02			metagenome	Homo sapiens	stool	7/19/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B3Jenny03			metagenome	Homo sapiens	stool	12/4/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B3Jenny1			metagenome	Homo sapiens	stool	3/2/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B4Jenny02			metagenome	Homo sapiens	stool	7/17/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B4Jenny03			metagenome	Homo sapiens	stool	12/4/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B4Jenny1			metagenome	Homo sapiens	stool	2/8/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B5Jenny02			metagenome	Homo sapiens	stool	7/12/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B5Jenny03			metagenome	Homo sapiens	stool	12/5/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B5Jenny1			metagenome	Homo sapiens	stool	2/6/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B6Jenny02			metagenome	Homo sapiens	stool	7/14/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B6Jenny03			metagenome	Homo sapiens	stool	12/7/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B6Jenny1			metagenome	Homo sapiens	stool	3/6/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B7Jenny02			metagenome	Homo sapiens	stool	7/11/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B7Jenny1			metagenome	Homo sapiens	stool	3/27/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B8Jenny02			metagenome	Homo sapiens	stool	7/7/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B8Jenny03			metagenome	Homo sapiens	stool	12/6/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B8Jenny1			metagenome	Homo sapiens	stool	4/10/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B9Jenny02			metagenome	Homo sapiens	stool	7/5/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
B9Jenny1			metagenome	Homo sapiens	stool	4/9/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C10Jenny02			metagenome	Homo sapiens	stool	6/16/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C10Jenny03			metagenome	Homo sapiens	stool	1/7/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C10Jenny1			metagenome	Homo sapiens	stool	3/1/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C11Jenny02			metagenome	Homo sapiens	stool	6/15/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C11Jenny03			metagenome	Homo sapiens	stool	1/8/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C11Jenny1			metagenome	Homo sapiens	stool	1/24/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C12Jenny02			metagenome	Homo sapiens	stool	6/19/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C12Jenny03			metagenome	Homo sapiens	stool	1/8/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C12Jenny1			metagenome	Homo sapiens	stool	3/1/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C1Jenny02			metagenome	Homo sapiens	stool	9/12/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C1Jenny1			metagenome	Homo sapiens	stool	4/6/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C2Jenny02			metagenome	Homo sapiens	stool	9/12/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C2Jenny03			metagenome	Homo sapiens	stool	1/2/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C2Jenny1			metagenome	Homo sapiens	stool	4/4/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C3Jenny02			metagenome	Homo sapiens	stool	9/13/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C3Jenny03			metagenome	Homo sapiens	stool	1/2/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C3Jenny1			metagenome	Homo sapiens	stool	2/12/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C4Jenny02			metagenome	Homo sapiens	stool	9/17/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C4Jenny03			metagenome	Homo sapiens	stool	1/2/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C4Jenny1			metagenome	Homo sapiens	stool	1/25/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C5Jenny02			metagenome	Homo sapiens	stool	9/14/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C5Jenny03			metagenome	Homo sapiens	stool	1/3/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C5Jenny1			metagenome	Homo sapiens	stool	3/29/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C6Jenny02			metagenome	Homo sapiens	stool	9/20/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C6Jenny03			metagenome	Homo sapiens	stool	1/3/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C6Jenny1			metagenome	Homo sapiens	stool	4/2/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C7Jenny03			metagenome	Homo sapiens	stool	1/5/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C7Jenny1			metagenome	Homo sapiens	stool	3/13/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C8Jenny02			metagenome	Homo sapiens	stool	9/19/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C8Jenny03			metagenome	Homo sapiens	stool	1/4/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C8Jenny1			metagenome	Homo sapiens	stool	4/3/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C9Jenny02			metagenome	Homo sapiens	stool	7/6/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C9Jenny03			metagenome	Homo sapiens	stool	1/5/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
C9Jenny1			metagenome	Homo sapiens	stool	3/15/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D10Heidi5			metagenome	Homo sapiens	stool	1/3/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D10Jenny02			metagenome	Homo sapiens	stool	9/24/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D10Jenny03			metagenome	Homo sapiens	stool	12/10/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D10Jenny1			metagenome	Homo sapiens	stool	5/16/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D11Heidi5			metagenome	Homo sapiens	stool	1/17/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D11Jenny02			metagenome	Homo sapiens	stool	9/26/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D11Jenny03			metagenome	Homo sapiens	stool	12/10/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D11Jenny1			metagenome	Homo sapiens	stool	5/21/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D12Heidi5			metagenome	Homo sapiens	stool	1/19/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D12Jenny03			metagenome	Homo sapiens	stool	12/11/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D12Jenny1			metagenome	Homo sapiens	stool	4/24/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D1Jenny02			metagenome	Homo sapiens	stool	6/19/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D1Jenny03			metagenome	Homo sapiens	stool	1/9/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D1Jenny1			metagenome	Homo sapiens	stool	3/6/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D2Jenny02			metagenome	Homo sapiens	stool	6/18/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D2Jenny03			metagenome	Homo sapiens	stool	1/10/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D2Jenny1			metagenome	Homo sapiens	stool	4/11/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D3Jenny02			metagenome	Homo sapiens	stool	6/11/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D3Jenny03			metagenome	Homo sapiens	stool	1/14/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D3Jenny1			metagenome	Homo sapiens	stool	4/21/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D4Jenny02			metagenome	Homo sapiens	stool	5/23/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D4Jenny03			metagenome	Homo sapiens	stool	1/14/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D4Jenny1			metagenome	Homo sapiens	stool	4/21/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D5Jenny02			metagenome	Homo sapiens	stool	6/12/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D5Jenny03			metagenome	Homo sapiens	stool	1/16/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D5Jenny1			metagenome	Homo sapiens	stool	5/3/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
