sample_name	collection_date	project_title		project_title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
A10Jenny02	7/24/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A10Jenny02_R1.fastq.gz	A10Jenny02_R2.fastq.gz						
A10Jenny03	5/22/2017	Hellman IBD Study		Metagenome-Mouse-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A10Jenny03_R1.fastq.gz	A10Jenny03_R2.fastq.gz						
A11Jenny02	7/20/2017	Hellman IBD Study		Metagenome-Mouse-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A11Jenny02_R1.fastq.gz	A11Jenny02_R2.fastq.gz						
A11Jenny03	6/22/2017	Hellman IBD Study		Metagenome-Mouse-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A11Jenny03_R1.fastq.gz	A11Jenny03_R2.fastq.gz						
A11Jenny1	1/31/2017	Hellman IBD Study		Metagenome-Mouse-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A11Jenny1_R1.fastq.gz	A11Jenny1_R2.fastq.gz						
A12Jenny02	7/20/2017	Hellman IBD Study		Metagenome-Mouse-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A12Jenny02_R1.fastq.gz	A12Jenny02_R2.fastq.gz						
A12Jenny03	11/29/2017	Hellman IBD Study		Metagenome-Mouse-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A12Jenny03_R1.fastq.gz	A12Jenny03_R2.fastq.gz						
A12Jenny1	2/5/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A12Jenny1_R1.fastq.gz	A12Jenny1_R2.fastq.gz						
A1Jenny02	8/6/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A1Jenny02_R1.fastq.gz	A1Jenny02_R2.fastq.gz						
A1Jenny03	11/29/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A1Jenny03_R1.fastq.gz	A1Jenny03_R2.fastq.gz						
A1Jenny1	2/28/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A1Jenny1_R1.fastq.gz	A1Jenny1_R2.fastq.gz						
A2Jenny02	8/8/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A2Jenny02_R1.fastq.gz	A2Jenny02_R2.fastq.gz						
A2Jenny03	11/21/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A2Jenny03_R1.fastq.gz	A2Jenny03_R2.fastq.gz						
A2Jenny1	2/19/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A2Jenny1_R1.fastq.gz	A2Jenny1_R2.fastq.gz						
A3Jenny02	8/1/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A3Jenny02_R1.fastq.gz	A3Jenny02_R2.fastq.gz						
A3Jenny03	10/24/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A3Jenny03_R1.fastq.gz	A3Jenny03_R2.fastq.gz						
A3Jenny1	2/23/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A3Jenny1_R1.fastq.gz	A3Jenny1_R2.fastq.gz						
A4Jenny02	8/1/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A4Jenny02_R1.fastq.gz	A4Jenny02_R2.fastq.gz						
A4Jenny1	3/5/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A4Jenny1_R1.fastq.gz	A4Jenny1_R2.fastq.gz						
A5Jenny02	7/31/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A5Jenny02_R1.fastq.gz	A5Jenny02_R2.fastq.gz						
A5Jenny03	11/2/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A5Jenny03_R1.fastq.gz	A5Jenny03_R2.fastq.gz						
A5Jenny1	1/22/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A5Jenny1_R1.fastq.gz	A5Jenny1_R2.fastq.gz						
A6Jenny02	7/26/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A6Jenny02_R1.fastq.gz	A6Jenny02_R2.fastq.gz						
A6Jenny03	11/2/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A6Jenny03_R1.fastq.gz	A6Jenny03_R2.fastq.gz						
A6Jenny1	1/24/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A6Jenny1_R1.fastq.gz	A6Jenny1_R2.fastq.gz						
A7Jenny02	7/24/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A7Jenny02_R1.fastq.gz	A7Jenny02_R2.fastq.gz						
A7Jenny03	11/5/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A7Jenny03_R1.fastq.gz	A7Jenny03_R2.fastq.gz						
A7Jenny1	1/29/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A7Jenny1_R1.fastq.gz	A7Jenny1_R2.fastq.gz						
A8Jenny02	7/24/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A8Jenny02_R1.fastq.gz	A8Jenny02_R2.fastq.gz						
A8Jenny03	9/26/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A8Jenny03_R1.fastq.gz	A8Jenny03_R2.fastq.gz						
A8Jenny1	1/30/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A8Jenny1_R1.fastq.gz	A8Jenny1_R2.fastq.gz						
A9Jenny02	7/24/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A9Jenny02_R1.fastq.gz	A9Jenny02_R2.fastq.gz						
A9Jenny03	9/26/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A9Jenny03_R1.fastq.gz	A9Jenny03_R2.fastq.gz						
A9Jenny1	9/26/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A9Jenny1_R1.fastq.gz	A9Jenny1_R2.fastq.gz						
B10Jenny02	6/29/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B10Jenny02_R1.fastq.gz	B10Jenny02_R2.fastq.gz						
B10Jenny03	1/1/2018	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B10Jenny03_R1.fastq.gz	B10Jenny03_R2.fastq.gz						
B10Jenny1	3/21/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B10Jenny1_R1.fastq.gz	B10Jenny1_R2.fastq.gz						
B11Jenny02	9/10/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B11Jenny02_R1.fastq.gz	B11Jenny02_R2.fastq.gz						
B11Jenny03	11/26/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B11Jenny03_R1.fastq.gz	B11Jenny03_R2.fastq.gz						
B11Jenny1	4/19/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B11Jenny1_R1.fastq.gz	B11Jenny1_R2.fastq.gz						
B12Jenny02	9/11/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B12Jenny02_R1.fastq.gz	B12Jenny02_R2.fastq.gz						
B12Jenny03	1/21/2018	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B12Jenny03_R1.fastq.gz	B12Jenny03_R2.fastq.gz						
B12Jenny1	4/7/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B12Jenny1_R1.fastq.gz	B12Jenny1_R2.fastq.gz						
B1Jenny02	7/19/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B1Jenny02_R1.fastq.gz	B1Jenny02_R2.fastq.gz						
B1Jenny03	12/3/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B1Jenny03_R1.fastq.gz	B1Jenny03_R2.fastq.gz						
B1Jenny1	2/6/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B1Jenny1_R1.fastq.gz	B1Jenny1_R2.fastq.gz						
B2Jenny02	7/21/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B2Jenny02_R1.fastq.gz	B2Jenny02_R2.fastq.gz						
B2Jenny03	12/4/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B2Jenny03_R1.fastq.gz	B2Jenny03_R2.fastq.gz						
B2Jenny1	2/20/2017	Hellman IBD Study		Metagenome-Human-Stool	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		B2Jenny1_R1.fastq.gz	B2Jenny1_R2.fastq.gz						
