sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	bioproject_id	project_title	project_description	sample_source	library_strategy	library_source	library_selection	platform	instrument_model	env_biome	env_feature	env_material	file_number
Yng1	Young mouse baseline 1		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				1
Yng2	Young mouse baseline 2		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				2
Yng3	Young mouse baseline 3		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				3
Yng4	Young mouse baseline 4		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				4
Yng5	Young mouse baseline 5		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				5
Yng6	Young mouse baseline 6		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				6
Yng7	Young mouse baseline 7		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				7
Yng8	Young mouse baseline 8		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				8
Aged1	Aged mouse baseline 1		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				9
Aged2	Aged mouse baseline 2		metagenome	Mus musculus	feces	not collected	USA: Ohio, Cincinnati	39.10 N 84.51 W									SUB15758360	Microbiota from young mice restore the function of aged ISCs	Investigating the role of the microbiota in young and aged mice		AMPLICON	METAGENOMIC	PCR	ILLUMINA	Illumina MiSeq				10
