sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	bioproject_id	project_title	project_description	sample_source	library_strategy	library_source	library_selection	platform	instrument_model	file_number
RS0001_1171			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	1
RS0001_1173			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	2
RS0001_1221			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	3
RS0001_1222			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	4
RS0001_1223			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	5
RS0001_1196			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	6
RS0001_1180			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	7
RS0001_1181			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	8
RS0001_1218			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	9
RS0001_1206			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	10
RS0001_1197			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	11
RS0001_1207			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	12
RS0001_1208			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	13
RS0001_1209			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	14
RS0001_1203			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	15
HG0001_9876			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	16
HG0001_9877			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	17
HG0001_9878			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	18
HG0001_9879			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	19
HG0001_9880			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	20
HG0001_9881			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	21
TFZ002_8000			metagenome	Mus musculus	stool	2020-01-01	Germany: Ulm	48.40 N 09.98 E												WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq X	22
