sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	bioproject_id	project_title	project_description	sample_source	library_strategy	library_source	library_selection	platform	instrument_model	file_number
A10Jenny02			metagenome	Homo sapiens	stool	2017-07-24	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	1
A10Jenny03			metagenome	Homo sapiens	stool	2017-05-22	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	2
A11Jenny02			metagenome	Homo sapiens	stool	2017-07-20	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	3
A11Jenny03			metagenome	Homo sapiens	stool	2017-06-22	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	4
A11Jenny1			metagenome	Homo sapiens	stool	2017-01-31	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	5
A12Jenny02			metagenome	Homo sapiens	stool	2017-07-20	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	6
A12Jenny03			metagenome	Homo sapiens	stool	2017-11-29	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	7
A12Jenny1			metagenome	Homo sapiens	stool	2017-02-05	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	8
A1Jenny02			metagenome	Homo sapiens	stool	2017-08-06	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	9
A1Jenny03			metagenome	Homo sapiens	stool	2017-11-29	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	10
A1Jenny1			metagenome	Homo sapiens	stool	2017-02-28	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	11
A2Jenny02			metagenome	Homo sapiens	stool	2017-08-08	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	12
A2Jenny03			metagenome	Homo sapiens	stool	2017-11-21	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	13
A2Jenny1			metagenome	Homo sapiens	stool	2017-02-19	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	14
A3Jenny02			metagenome	Homo sapiens	stool	2017-08-01	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	15
A3Jenny03			metagenome	Homo sapiens	stool	2017-10-24	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	16
A3Jenny1			metagenome	Homo sapiens	stool	2017-02-23	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	17
A4Jenny02			metagenome	Homo sapiens	stool	2017-08-01	USA: Ohio, Cincinnati	39.10 N 84.51 W									Metagenomics Study	Metagenomics of human gut		WGS	METAGENOMIC	RANDOM	ILLUMINA	Illumina NovaSeq 6000	18
