sample_name	project_title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8	library_ID	title
A10Jenny02	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A10Jenny02_R1.fastq.gz	A10Jenny02_R2.fastq.gz							A10Jenny02	Metagenome-Human-Stool
A10Jenny03	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A10Jenny03_R1.fastq.gz	A10Jenny03_R2.fastq.gz							A10Jenny03	Metagenome-Human-Stool
A11Jenny02	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A11Jenny02_R1.fastq.gz	A11Jenny02_R2.fastq.gz							A11Jenny02	Metagenome-Human-Stool
A11Jenny03	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A11Jenny03_R1.fastq.gz	A11Jenny03_R2.fastq.gz							A11Jenny03	Metagenome-Human-Stool
A11Jenny1	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A11Jenny1_R1.fastq.gz	A11Jenny1_R2.fastq.gz							A11Jenny1	Metagenome-Human-Stool
A12Jenny02	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A12Jenny02_R1.fastq.gz	A12Jenny02_R2.fastq.gz							A12Jenny02	Metagenome-Human-Stool
A12Jenny03	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A12Jenny03_R1.fastq.gz	A12Jenny03_R2.fastq.gz							A12Jenny03	Metagenome-Human-Stool
A12Jenny1	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A12Jenny1_R1.fastq.gz	A12Jenny1_R2.fastq.gz							A12Jenny1	Metagenome-Human-Stool
A1Jenny02	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A1Jenny02_R1.fastq.gz	A1Jenny02_R2.fastq.gz							A1Jenny02	Metagenome-Human-Stool
A1Jenny03	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A1Jenny03_R1.fastq.gz	A1Jenny03_R2.fastq.gz							A1Jenny03	Metagenome-Human-Stool
A1Jenny1	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A1Jenny1_R1.fastq.gz	A1Jenny1_R2.fastq.gz							A1Jenny1	Metagenome-Human-Stool
A2Jenny02	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A2Jenny02_R1.fastq.gz	A2Jenny02_R2.fastq.gz							A2Jenny02	Metagenome-Human-Stool
A2Jenny03	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A2Jenny03_R1.fastq.gz	A2Jenny03_R2.fastq.gz							A2Jenny03	Metagenome-Human-Stool
A2Jenny1	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A2Jenny1_R1.fastq.gz	A2Jenny1_R2.fastq.gz							A2Jenny1	Metagenome-Human-Stool
A3Jenny02	Hellman IBD Study	WGS	METAGENOMIC	size fractionation	paired	ILLUMINA	NextSeq 500	Nextera XT	fastq		A3Jenny02_R1.fastq.gz	A3Jenny02_R2.fastq.gz							A3Jenny02	Metagenome-Human-Stool
